LOC_DIS_mod,test1,test2,LOCALIDAD_mod,DISTRITO_mod,PROVINCIA_mod,LOCALIDAD,DISTRITO,PROVINCIA,BASIN,Selected,MALARIA P. FALCIPARUM 2013,MALARIA POR P. MALARIAE 2013,MALARIA POR P. VIVAX 2013,Total general 2013,MALARIA P. FALCIPARUM 2014,MALARIA POR P. MALARIAE 2014,MALARIA POR P. VIVAX 2014,Total general 2014,MALARIA P. FALCIPARUM 2015,MALARIA POR P. MALARIAE 2015,MALARIA POR P. VIVAX 2015,Total general 2015,MALARIA P. FALCIPARUM 2016,MALARIA POR P. MALARIAE 2016,MALARIA POR P. VIVAX 2016,Total general 2016,MALARIA P. FALCIPARUM 2017,MALARIA POR P. VIVAX 2017,Total general 2017,MALARIA P. FALCIPARUM 2018,MALARIA POR P. VIVAX 2018,Total general 2018,MALARIA P. FALCIPARUM 2019,MALARIA POR P. VIVAX 2019,Total general 2019
KM.45 CARRETERA IQUITOS -_SAN JUAN BAUTISTA,#N/A,#N/A,KM.45 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,KM.45 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,NA,No,0,0,1,1,NA,NA,NA,NA,0,0,4,4,NA,NA,NA,NA,0,1,1,0,1,1,0,1,1
KM.47 CARRETERA IQUITOS -_SAN JUAN BAUTISTA,#N/A,#N/A,KM.47 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,KM.47 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,NA,No,0,0,1,1,NA,NA,NA,NA,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA
KM.50 CARRETERA IQUITOS-N_SAN JUAN BAUTISTA,#N/A,#N/A,KM.50 CARRETERA IQUITOS-N,SAN JUAN BAUTISTA,MAYNAS,KM.50 CARRETERA IQUITOS-N,SAN JUAN BAUTISTA,MAYNAS,NA,No,0,0,3,3,1,0,1,2,3,0,19,22,NA,NA,NA,NA,NA,NA,NA,0,8,8,0,4,4
KM.55 CARRETERA IQUITOS -_SAN JUAN BAUTISTA,#N/A,#N/A,KM.55 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,KM.55 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,1,1,1,0,1,2,0,0,2,2,NA,NA,NA,0,2,2,NA,NA,NA
KM.62 CARRETERA IQUITOS -_SAN JUAN BAUTISTA,#N/A,#N/A,KM.62 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,KM.62 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA
KM.65 CARRETERA IQUITOS -_SAN JUAN BAUTISTA,#N/A,#N/A,KM.65 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,KM.65 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,NA,No,1,0,3,4,0,0,6,6,0,0,1,1,0,0,1,1,0,5,5,0,2,2,NA,NA,NA
KM.79 CARRETERA IQUITOS-N_SAN JUAN BAUTISTA,#N/A,#N/A,KM.79 CARRETERA IQUITOS-N,SAN JUAN BAUTISTA,MAYNAS,KM.79 CARRETERA IQUITOS-N,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,1,1,1,0,1,2,NA,NA,NA,NA,0,1,1,0,1,1,NA,NA,NA
KM.8 CARRETERA IQUITOS -_SAN JUAN BAUTISTA,#N/A,#N/A,KM.8 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,KM.8 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA
KM.89 CARRETERA IQUITOS -_SAN JUAN BAUTISTA,#N/A,#N/A,KM.89 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,KM.89 CARRETERA IQUITOS -,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,3,NA,NA,NA,NA,1,3,4,0,2,2,1,0,1
KM.9 CARRETERA IQUITOS-NA_SAN JUAN BAUTISTA,#N/A,#N/A,KM.9 CARRETERA IQUITOS-NA,SAN JUAN BAUTISTA,MAYNAS,KM.9 CARRETERA IQUITOS-NA,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,7,7,0,0,2,2,0,0,1,1,0,3,3,1,3,4,0,1,1
KUJI_MANSERICHE,KUJI_MANSERICHE,KUJI_MANSERICHE,KUJI,MANSERICHE,DATEM DEL MARA—ON,KUJI,MANSERICHE,DATEM DEL MARA—ON,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA
KUNAM ENTSA_ANDOAS,KUNAM ENTSA_ANDOAS,KUNAM ENTSA_ANDOAS,KUNAM ENTSA,ANDOAS,DATEM DEL MARA—ON,KUNAMENTZA,ANDOAS,DATEM DEL MARA—ON,NA,No,NA,NA,NA,NA,35,0,26,61,35,0,30,65,94,0,113,207,21,29,50,14,15,29,3,5,8
KURANDA COCHA_ANDOAS,KURANDA COCHA_ANDOAS,KURANDA COCHA_ANDOAS,KURANDA COCHA,ANDOAS,DATEM DEL MARA—ON,CURANDA COCHA,ANDOAS,DATEM DEL MARA—ON,NA,No,16,0,15,31,9,0,14,23,11,0,32,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KUSHILLA_ANDOAS,KUSHILLA_ANDOAS,KUSHILLA_ANDOAS,KUSHILLA,ANDOAS,DATEM DEL MARA—ON,KUSILLA,ANDOAS,DATEM DEL MARA—ON,NA,No,1,0,8,9,0,0,1,1,NA,NA,NA,NA,0,0,2,2,27,21,48,NA,NA,NA,NA,NA,NA
KUSTANCH_ANDOAS,KUSTANCH_ANDOAS,KUSTANCH_ANDOAS,KUSTANCH,ANDOAS,DATEM DEL MARA—ON,KONSTASH,ANDOAS,DATEM DEL MARA—ON,NA,No,0,0,2,2,3,0,2,5,2,0,4,6,0,0,11,11,1,5,6,2,4,6,0,2,2
KUSUIMI_MORONA,KUSUIMI_MORONA,KUSUIMI_MORONA,KUSUIMI,MORONA,DATEM DEL MARA—ON,CUSUIMI,MORONA,DATEM DEL MARA—ON,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA
KUSUIMI_MORONA,KUSUIMI_MORONA,KUSUIMI_MORONA,KUSUIMI,MORONA,DATEM DEL MARA—ON,KUSUIMI,MORONA,DATEM DEL MARA—ON,NA,No,0,0,1,1,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,2,2,0,2,2
KUYUNTSA_BARRANCA,KUYUNTSA_BARRANCA,KUYUNTSA_BARRANCA,KUYUNTSA,BARRANCA,DATEM DEL MARA—ON,KUYUNTSA,BARRANCA,DATEM DEL MARA—ON,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
KUYUNTSA_BARRANCA,KUYUNTSA_BARRANCA,KUYUNTSA_BARRANCA,KUYUNTSA,BARRANCA,DATEM DEL MARA—ON,KUYUNTZA,PASTAZA,DATEM DEL MARA—ON,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,6,11,6,10,16,5,11,16,NA,NA,NA
KUYUNTZA_ANDOAS,KUYUNTZA_ANDOAS,KUYUNTZA_ANDOAS,KUYUNTZA,ANDOAS,DATEM DEL MARA—ON,KUYUNTZA,ANDOAS,DATEM DEL MARA—ON,NA,No,0,0,5,5,18,0,38,56,115,0,103,218,220,0,348,568,405,658,1063,167,288,455,58,71,129
LA CURVA_PASTAZA,LA CURVA_PASTAZA,LA CURVA_PASTAZA,LA CURVA,PASTAZA,DATEM DEL MARA—ON,LA CURVA,BARRANCA,DATEM DEL MARA—ON,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1
LA CURVA_PASTAZA,LA CURVA_PASTAZA,LA CURVA_PASTAZA,LA CURVA,PASTAZA,DATEM DEL MARA—ON,LA CURVA,PASTAZA,DATEM DEL MARA—ON,NA,No,1,0,12,13,4,0,47,51,2,0,25,27,NA,NA,NA,NA,13,39,52,1,19,20,0,1,1
LA FLORIDA_PUTUMAYO,LA FLORIDA_PUTUMAYO,LA FLORIDA_PUTUMAYO,LA FLORIDA,PUTUMAYO,PUTUMAYO,LA FLORIDA,PUTUMAYO,PUTUMAYO,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,0,0,9,9,0,0,1,1,0,1,1,0,1,1,NA,NA,NA
LA PETROLERA_URARINAS,LA PETROLERA_URARINAS,LA PETROLERA_URARINAS,LA PETROLERA,URARINAS,LORETO,LA PETROLERA,URARINAS,LORETO,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LA PETROLERA_URARINAS,LA PETROLERA_URARINAS,LA PETROLERA_URARINAS,LA PETROLERA,URARINAS,LORETO,LAS PETROLERAS,URARINAS,LORETO,NA,No,NA,NA,NA,NA,4,0,6,10,0,0,3,3,4,0,11,15,21,31,52,4,7,11,NA,NA,NA
LA PRADERA_IQUITOS,#N/A,#N/A,LA PRADERA,IQUITOS,MAYNAS,LA PRADERA,IQUITOS,MAYNAS,NA,No,NA,NA,NA,NA,0,0,2,2,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA
LAGARTO COCHA_NAPO,LAGARTO COCHA_NAPO,LAGARTO COCHA_NAPO,LAGARTO COCHA,NAPO,MAYNAS,LAGARTO,MAZAN,MAYNAS,NA,No,0,0,6,6,0,0,1,1,1,0,0,1,NA,NA,NA,NA,3,3,6,3,4,7,0,2,2
LAGARTO COCHA_NAPO,LAGARTO COCHA_NAPO,LAGARTO COCHA_NAPO,LAGARTO COCHA,NAPO,MAYNAS,LAGARTOCOCHA,MAZAN,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,1,1,2,NA,NA,NA
LAGARTO COCHA_NAPO,LAGARTO COCHA_NAPO,LAGARTO COCHA_NAPO,LAGARTO COCHA,NAPO,MAYNAS,QUEBARADA LAGARTO,MAZAN,MAYNAS,NA,No,0,0,5,5,1,0,4,5,0,0,3,3,2,0,1,3,0,8,8,NA,NA,NA,0,1,1
LAGARTO COCHA_NAPO,LAGARTO COCHA_NAPO,LAGARTO COCHA_NAPO,LAGARTO COCHA,NAPO,MAYNAS,LAGARTO COCHA,NAPO,MAYNAS,NA,No,1,0,4,5,4,0,11,15,1,0,19,20,4,0,16,20,2,8,10,0,2,2,0,1,1
LAGARTO COCHA_URARINAS,LAGARTO COCHA_URARINAS,LAGARTO COCHA_URARINAS,LAGARTO COCHA,URARINAS,LORETO,LAGARTO COCHA,URARINAS,LORETO,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,2,0,7,9,2,19,21,11,16,27,NA,NA,NA
LAGO SAN MARCOS_EMILIO SAN MARTIN,LAGO SAN MARCOS_EMILIO SAN MARTIN,LAGO SAN MARCOS_EMILIO SAN MARTIN,LAGO SAN MARCOS,EMILIO SAN MARTIN,REQUENA,LAGO SAN MARCOS,EMILIO SAN MARTIN,REQUENA,NA,No,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAGO TIPISHCA_MAQUIA,#N/A,LAGO TIPISHCA_MAQUIA,LAGO TIPISHCA,MAQUIA,REQUENA,LAGO TIPISHCA,MAQUIA,REQUENA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAGO YURAC YACU_MAZAN,LAGO YURAC YACU_MAZAN,LAGO YURAC YACU_MAZAN,LAGO YURAC YACU,MAZAN,MAYNAS,LAGO YURAC YACU,MAZAN,MAYNAS,NA,No,1,0,9,10,0,0,1,1,0,0,3,3,0,0,2,2,0,3,3,0,4,4,NA,NA,NA
LAGUNA_PUNCHANA,#N/A,LAGUNA_PUNCHANA,LAGUNA,PUNCHANA,MAYNAS,LAGUNA,PUNCHANA,MAYNAS,NA,No,0,0,1,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA
LAGUNAS_IQUITOS,LAGUNAS_IQUITOS,LAGUNAS_IQUITOS,LAGUNAS,IQUITOS,MAYNAS,LAGUNAS,IQUITOS,MAYNAS,Nanay,Yes,11,0,27,38,8,0,31,39,7,0,25,32,7,0,27,34,4,23,27,8,27,35,1,4,5
LAGUNAS_LAGUNAS,LAGUNAS_LAGUNAS,LAGUNAS_LAGUNAS,LAGUNAS,LAGUNAS,ALTO AMAZONAS,LAGUNAS,LAGUNAS,ALTO AMAZONAS,NA,No,0,0,1,1,1,0,5,6,0,0,2,2,0,0,1,1,0,1,1,1,4,5,NA,NA,NA
LAMAS TIPISHCA_TIGRE,LAMAS TIPISHCA_TIGRE,LAMAS TIPISHCA_TIGRE,LAMAS TIPISHCA,TIGRE,LORETO,LAMAS TIPISHCA,TIGRE,LORETO,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAS AMAZONAS_LAS AMAZONAS,#N/A,LAS AMAZONAS_LAS AMAZONAS,LAS AMAZONAS,LAS AMAZONAS,MAYNAS,LAS AMAZONAS,LAS AMAZONAS,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,0,1,1,0,2,2,NA,NA,NA
LAS AMAZONAS_YURIMAGUAS,LAS AMAZONAS_YURIMAGUAS,LAS AMAZONAS_YURIMAGUAS,LAS AMAZONAS,YURIMAGUAS,ALTO AMAZONAS,LAS AMAZONAS,YURIMAGUAS,ALTO AMAZONAS,NA,No,NA,NA,NA,NA,0,0,11,11,0,0,3,3,0,0,6,6,0,3,3,0,1,1,NA,NA,NA
LAS AZUCENAS_SAN JUAN BAUTISTA,#N/A,LAS AZUCENAS_SAN JUAN BAUTISTA,LAS AZUCENAS,SAN JUAN BAUTISTA,MAYNAS,LAS AZUCENAS,SAN JUAN BAUTISTA,MAYNAS,NA,No,0,0,2,2,1,0,2,3,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA
LAS CAMELIAS_SAN JUAN BAUTISTA,#N/A,LAS CAMELIAS_SAN JUAN BAUTISTA,LAS CAMELIAS,SAN JUAN BAUTISTA,MAYNAS,LAS CAMELIAS,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,NA,1,0,1,2,NA,NA,NA,0,2,2,NA,NA,NA
LAS CASTA—AS_PUNCHANA,#N/A,#N/A,LAS CASTA—AS,PUNCHANA,MAYNAS,LAS CASTA–AS,PUNCHANA,MAYNAS,NA,No,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAS CASTA—AS_SAN JUAN BAUTISTA,#N/A,LAS CASTA—AS_SAN JUAN BAUTISTA,LAS CASTA—AS,SAN JUAN BAUTISTA,MAYNAS,LAS CASTA–AS,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAS FLORES_SAN JUAN BAUTISTA,#N/A,LAS FLORES_SAN JUAN BAUTISTA,LAS FLORES,SAN JUAN BAUTISTA,MAYNAS,LAS FLORES,SAN JUAN BAUTISTA,MAYNAS,NA,No,2,0,1,3,0,0,4,4,0,0,5,5,0,0,2,2,0,1,1,NA,NA,NA,0,1,1
LAS FLORES_YAVARI,#N/A,LAS FLORES_YAVARI,LAS FLORES,YAVARI,MARISCAL RAMON CASTILLA,LAS FLORES,YAVARI,MARISCAL RAMON CASTILLA,NA,No,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAS MALVINAS_NAUTA,LAS MALVINAS_NAUTA,LAS MALVINAS_NAUTA,LAS MALVINAS,NAUTA,LORETO,LAS MALVINAS,NAUTA,LORETO,NA,No,NA,NA,NA,NA,3,0,3,6,0,0,1,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAS MALVINAS_PUNCHANA,LAS MALVINAS_PUNCHANA,LAS MALVINAS_PUNCHANA,LAS MALVINAS,PUNCHANA,MAYNAS,MALVINAS,PUNCHANA,MAYNAS,NA,No,0,0,1,1,0,0,1,1,NA,NA,NA,NA,0,0,4,4,0,1,1,0,2,2,0,2,2
LAS MALVINAS_TIGRE,LAS MALVINAS_TIGRE,LAS MALVINAS_TIGRE,LAS MALVINAS,TIGRE,LORETO,MALVINAS,TIGRE,LORETO,NA,No,51,0,28,79,0,0,2,2,31,0,47,78,16,0,69,85,0,22,22,0,7,7,NA,NA,NA
LAS MALVINAS_YAQUERANA,LAS MALVINAS_YAQUERANA,LAS MALVINAS_YAQUERANA,LAS MALVINAS,YAQUERANA,REQUENA,LAS MALVINAS,YAQUERANA,REQUENA,NA,No,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAS MERCEDES_IQUITOS,#N/A,LAS MERCEDES_IQUITOS,LAS MERCEDES,IQUITOS,MAYNAS,LAS MERCEDES,IQUITOS,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA
LAS MERCEDES_SAN JUAN BAUTISTA,#N/A,LAS MERCEDES_SAN JUAN BAUTISTA,LAS MERCEDES,SAN JUAN BAUTISTA,MAYNAS,LAS MERCEDES,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAS PALMAS_INDIANA,LAS PALMAS_INDIANA,LAS PALMAS_INDIANA,LAS PALMAS,INDIANA,MAYNAS,LAS PALMAS,INDIANA,MAYNAS,NA,No,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,0,1,1,NA,NA,NA
LAS PALMAS_NAUTA,LAS PALMAS_NAUTA,LAS PALMAS_NAUTA,LAS PALMAS,NAUTA,LORETO,LAS PALMAS,NAUTA,LORETO,NA,No,NA,NA,NA,NA,0,0,1,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAS PALMERAS DE SAN ROQUE_YURIMAGUAS,LAS PALMERAS DE SAN ROQUE_YURIMAGUAS,LAS PALMERAS DE SAN ROQUE_YURIMAGUAS,LAS PALMERAS DE SAN ROQUE,YURIMAGUAS,ALTO AMAZONAS,PALMERAS DE SAN ROQUE,YURIMAGUAS,ALTO AMAZONAS,NA,No,NA,NA,NA,NA,0,0,4,4,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,0,8,8,NA,NA,NA
LAS PALMERAS ZONA 1_INDIANA,LAS PALMERAS ZONA 1_INDIANA,LAS PALMERAS ZONA 1_INDIANA,LAS PALMERAS ZONA 1,INDIANA,MAYNAS,PALMERAS I - ZONA,INDIANA,MAYNAS,NA,No,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
